Chantier;Ancien nom;Nouveau nom;Alt text suggere (remplacer [VILLE]);Statut
15;15-juil2026-toit-tuile-brune-chateau-eau-1.webp;couverture-tuile-brune-richard-toitures-15-1.webp;Toit en tuiles brunes - Richard Toitures, couvreur a [VILLE];OK
15;15-juil2026-toit-tuile-brune-chateau-eau-2.webp;couverture-tuile-brune-richard-toitures-15-2.webp;Toit en tuiles brunes - Richard Toitures, couvreur a [VILLE];OK
15;15-juil2026-toit-tuile-brune-chateau-eau-3.webp;couverture-tuile-brune-richard-toitures-15-3.webp;Toit en tuiles brunes - Richard Toitures, couvreur a [VILLE];OK
16;16-juil2026-longere-1535-nacelle-multitel-1.webp;renovation-toiture-longere-richard-toitures-16-1.webp;Longere en cours de renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
16;16-juil2026-longere-1535-nacelle-multitel-2.webp;renovation-toiture-longere-richard-toitures-16-2.webp;Longere en cours de renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
16;16-juil2026-longere-1535-nacelle-multitel-3.webp;renovation-toiture-longere-richard-toitures-16-3.webp;Longere en cours de renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
16;16-juil2026-longere-1535-nacelle-multitel-4.webp;renovation-toiture-longere-richard-toitures-16-4.webp;Longere en cours de renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
17;17-maison-n10-ardoise-brique-1.webp;couverture-ardoise-maison-brique-richard-toitures-17-1.webp;Maison en brique couverte en ardoise - Richard Toitures, couvreur a [VILLE];OK
17;17-maison-n10-ardoise-brique-2.webp;couverture-ardoise-maison-brique-richard-toitures-17-2.webp;Maison en brique couverte en ardoise - Richard Toitures, couvreur a [VILLE];OK
17;17-maison-n10-ardoise-brique-3.webp;couverture-ardoise-maison-brique-richard-toitures-17-3.webp;Maison en brique couverte en ardoise - Richard Toitures, couvreur a [VILLE];OK
17;17-maison-n10-ardoise-brique-4.webp;couverture-ardoise-maison-brique-richard-toitures-17-4.webp;Maison en brique couverte en ardoise - Richard Toitures, couvreur a [VILLE];OK
17;17-maison-n10-ardoise-brique-5.webp;couverture-ardoise-maison-brique-richard-toitures-17-5.webp;Maison en brique couverte en ardoise - Richard Toitures, couvreur a [VILLE];OK
18;18-maison-pierre-pac-serre-1.webp;renovation-toiture-maison-pierre-richard-toitures-18-1.webp;Maison en pierre apres renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
18;18-maison-pierre-pac-serre-2.webp;renovation-toiture-maison-pierre-richard-toitures-18-2.webp;Maison en pierre apres renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
18;18-maison-pierre-pac-serre-3.webp;renovation-toiture-maison-pierre-richard-toitures-18-3.webp;Maison en pierre apres renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
18;18-maison-pierre-pac-serre-4.webp;renovation-toiture-maison-pierre-richard-toitures-18-4.webp;Maison en pierre apres renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
18;18-maison-pierre-pac-serre-5.webp;renovation-toiture-maison-pierre-richard-toitures-18-5.webp;Maison en pierre apres renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
19;19-village-tuile-rouge-cloture-verte-1.webp;couverture-tuile-rouge-richard-toitures-19-1.webp;Toiture en tuiles rouges - Richard Toitures, couvreur a [VILLE];OK
19;19-village-tuile-rouge-cloture-verte-2.webp;couverture-tuile-rouge-richard-toitures-19-2.webp;Toiture en tuiles rouges - Richard Toitures, couvreur a [VILLE];OK
19;19-village-tuile-rouge-cloture-verte-3.webp;couverture-tuile-rouge-richard-toitures-19-3.webp;Toiture en tuiles rouges - Richard Toitures, couvreur a [VILLE];OK
19;19-village-tuile-rouge-cloture-verte-4.webp;couverture-tuile-rouge-richard-toitures-19-4.webp;Toiture en tuiles rouges - Richard Toitures, couvreur a [VILLE];OK
19;19-village-tuile-rouge-cloture-verte-5.webp;couverture-tuile-rouge-richard-toitures-19-5.webp;Toiture en tuiles rouges - Richard Toitures, couvreur a [VILLE];OK
20;20-maison-pierre-niche-a-chien.webp;refection-toiture-maison-pierre-richard-toitures-20.webp;Maison en pierre et sa toiture refaite - Richard Toitures, couvreur a [VILLE];OK
21;21-photo-promo-entreprise.webp;couvreur-pose-de-tuiles-richard-toitures-21.webp;Couvreur en train de poser des tuiles - Richard Toitures, couvreur a [VILLE];OK
22;22-sm-renov-habitat-portfolio-1.webp;renovation-habitat-portfolio-richard-toitures-22-1.webp;Chantier de renovation de l'habitat - Richard Toitures, couvreur a [VILLE];RETIRE - droits d'auteur tiers (SM Renov Habitat)
22;22-sm-renov-habitat-portfolio-2.webp;renovation-habitat-portfolio-richard-toitures-22-2.webp;Chantier de renovation de l'habitat - Richard Toitures, couvreur a [VILLE];RETIRE - droits d'auteur tiers (SM Renov Habitat)
23;23-ferme-membrane-rewasi-2-velux-1.webp;ecran-sous-toiture-pose-velux-richard-toitures-23-1.webp;Pose d'ecran sous toiture et de fenetres de toit - Richard Toitures, couvreur a [VILLE];OK
23;23-ferme-membrane-rewasi-2-velux-2.webp;ecran-sous-toiture-pose-velux-richard-toitures-23-2.webp;Pose d'ecran sous toiture et de fenetres de toit - Richard Toitures, couvreur a [VILLE];OK
23;23-ferme-membrane-rewasi-2-velux-3.webp;ecran-sous-toiture-pose-velux-richard-toitures-23-3.webp;Pose d'ecran sous toiture et de fenetres de toit - Richard Toitures, couvreur a [VILLE];OK
23;23-ferme-membrane-rewasi-2-velux-4.webp;ecran-sous-toiture-pose-velux-richard-toitures-23-4.webp;Pose d'ecran sous toiture et de fenetres de toit - Richard Toitures, couvreur a [VILLE];OK
23;23-ferme-membrane-rewasi-2-velux-5.webp;ecran-sous-toiture-pose-velux-richard-toitures-23-5.webp;Pose d'ecran sous toiture et de fenetres de toit - Richard Toitures, couvreur a [VILLE];OK
23;23-ferme-membrane-rewasi-2-velux-6.webp;ecran-sous-toiture-pose-velux-richard-toitures-23-6.webp;Pose d'ecran sous toiture et de fenetres de toit - Richard Toitures, couvreur a [VILLE];OK
24;24-toit-ardoise-faitage-orange-isolant-1.webp;couverture-ardoise-isolation-toiture-richard-toitures-24-1.webp;Couverture ardoise avec isolation de toiture - Richard Toitures, couvreur a [VILLE];OK
24;24-toit-ardoise-faitage-orange-isolant-2.webp;couverture-ardoise-isolation-toiture-richard-toitures-24-2.webp;Couverture ardoise avec isolation de toiture - Richard Toitures, couvreur a [VILLE];OK
24;24-toit-ardoise-faitage-orange-isolant-3.webp;couverture-ardoise-isolation-toiture-richard-toitures-24-3.webp;Couverture ardoise avec isolation de toiture - Richard Toitures, couvreur a [VILLE];OK
25;25-construction-pierre-de-taille-delta-vent-1.webp;maconnerie-pierre-de-taille-richard-toitures-25-1.webp;Construction en pierre de taille - Richard Toitures, couvreur a [VILLE];OK
25;25-construction-pierre-de-taille-delta-vent-2.webp;maconnerie-pierre-de-taille-richard-toitures-25-2.webp;Construction en pierre de taille - Richard Toitures, couvreur a [VILLE];OK
26;26-maison-bourgeoise-nacelle-blanche-1.webp;renovation-toiture-maison-bourgeoise-richard-toitures-26-1.webp;Maison bourgeoise en renovation de toiture - Richard Toitures, couvreur a [VILLE];Recadre - capture d'ecran nettoyee
26;26-maison-bourgeoise-nacelle-blanche-2.webp;renovation-toiture-maison-bourgeoise-richard-toitures-26-2.webp;Maison bourgeoise en renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
27;27-rangee-mitoyenne-jardin-etroit.webp;refection-toiture-maison-mitoyenne-richard-toitures-27.webp;Maison mitoyenne en refection de toiture - Richard Toitures, couvreur a [VILLE];OK
28;28-camion-cabstar-colombages.webp;chantier-couvreur-maison-colombages-richard-toitures-28.webp;Chantier de couvreur devant une maison a colombages - Richard Toitures, couvreur a [VILLE];OK
29;29-maison-grise-bache-verte-faitage-1.webp;refection-faitage-toiture-richard-toitures-29-1.webp;Refection du faitage d'une toiture - Richard Toitures, couvreur a [VILLE];OK
29;29-maison-grise-bache-verte-faitage-2.webp;refection-faitage-toiture-richard-toitures-29-2.webp;Refection du faitage d'une toiture - Richard Toitures, couvreur a [VILLE];Recadre - capture d'ecran nettoyee
30;30-echafaudage-altrad-ardoise-1.webp;couverture-ardoise-echafaudage-richard-toitures-30-1.webp;Couverture ardoise avec echafaudage - Richard Toitures, couvreur a [VILLE];OK
30;30-echafaudage-altrad-ardoise-2.webp;couverture-ardoise-echafaudage-richard-toitures-30-2.webp;Couverture ardoise avec echafaudage - Richard Toitures, couvreur a [VILLE];OK
31;31-longere-portes-turquoise-1.webp;renovation-toiture-longere-pierre-richard-toitures-31-1.webp;Longere en pierre en renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
31;31-longere-portes-turquoise-2.webp;renovation-toiture-longere-pierre-richard-toitures-31-2.webp;Longere en pierre en renovation de toiture - Richard Toitures, couvreur a [VILLE];Recadre - capture d'ecran nettoyee
31;31-longere-portes-turquoise-3.webp;renovation-toiture-longere-pierre-richard-toitures-31-3.webp;Longere en pierre en renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
31;31-longere-portes-turquoise-4.webp;renovation-toiture-longere-pierre-richard-toitures-31-4.webp;Longere en pierre en renovation de toiture - Richard Toitures, couvreur a [VILLE];OK
32;32-nacelle-pac-toiture.webp;intervention-nacelle-toiture-richard-toitures-32.webp;Intervention en nacelle sur toiture - Richard Toitures, couvreur a [VILLE];Recadre - capture d'ecran nettoyee
33;33-maison-pierre-lattes-voiture-bleue-1.webp;liteaunage-toiture-maison-pierre-richard-toitures-33-1.webp;Liteaunage de la toiture d'une maison en pierre - Richard Toitures, couvreur a [VILLE];OK
33;33-maison-pierre-lattes-voiture-bleue-2.webp;liteaunage-toiture-maison-pierre-richard-toitures-33-2.webp;Liteaunage de la toiture d'une maison en pierre - Richard Toitures, couvreur a [VILLE];OK
34;34-demolition-charpente-vue-village-1.webp;depose-charpente-toiture-richard-toitures-34-1.webp;Depose de charpente et de toiture - Richard Toitures, couvreur a [VILLE];OK
34;34-demolition-charpente-vue-village-2.webp;depose-charpente-toiture-richard-toitures-34-2.webp;Depose de charpente et de toiture - Richard Toitures, couvreur a [VILLE];Recadre - capture d'ecran nettoyee
34;34-demolition-charpente-vue-village-3.webp;depose-charpente-toiture-richard-toitures-34-3.webp;Depose de charpente et de toiture - Richard Toitures, couvreur a [VILLE];OK
35;35-grange-tuile-motif-reutilisee.webp;reutilisation-tuiles-anciennes-grange-richard-toitures-35.webp;Reutilisation de tuiles anciennes sur une grange - Richard Toitures, couvreur a [VILLE];OK
36;36-cheminee-brique-parabole-altrad-1.webp;renovation-cheminee-brique-richard-toitures-36-1.webp;Renovation d'une cheminee en brique - Richard Toitures, couvreur a [VILLE];OK
36;36-cheminee-brique-parabole-altrad-2.webp;renovation-cheminee-brique-richard-toitures-36-2.webp;Renovation d'une cheminee en brique - Richard Toitures, couvreur a [VILLE];OK
36;36-cheminee-brique-parabole-altrad-3.webp;renovation-cheminee-brique-richard-toitures-36-3.webp;Renovation d'une cheminee en brique - Richard Toitures, couvreur a [VILLE];OK
37;37-pignon-oculus-brique-lierre-1.webp;refection-toiture-pignon-brique-richard-toitures-37-1.webp;Refection de toiture sur pignon en brique - Richard Toitures, couvreur a [VILLE];OK
37;37-pignon-oculus-brique-lierre-2.webp;refection-toiture-pignon-brique-richard-toitures-37-2.webp;Refection de toiture sur pignon en brique - Richard Toitures, couvreur a [VILLE];OK
38;38-maison-brique-style-picardie.webp;couverture-maison-brique-richard-toitures-38.webp;Maison en brique et sa couverture - Richard Toitures, couvreur a [VILLE];OK
39;39-ferme-porte-grange-camion-cte-1.webp;renovation-toiture-ferme-nacelle-richard-toitures-39-1.webp;Renovation de toiture d'une ferme avec nacelle - Richard Toitures, couvreur a [VILLE];OK
39;39-ferme-porte-grange-camion-cte-2.webp;renovation-toiture-ferme-nacelle-richard-toitures-39-2.webp;Renovation de toiture d'une ferme avec nacelle - Richard Toitures, couvreur a [VILLE];OK
39;39-ferme-porte-grange-camion-cte-3.webp;renovation-toiture-ferme-nacelle-richard-toitures-39-3.webp;Renovation de toiture d'une ferme avec nacelle - Richard Toitures, couvreur a [VILLE];OK
39;39-ferme-porte-grange-camion-cte-4.webp;renovation-toiture-ferme-nacelle-richard-toitures-39-4.webp;Renovation de toiture d'une ferme avec nacelle - Richard Toitures, couvreur a [VILLE];OK
40;40-toiture-urbaine-clocher-eglise.webp;couverture-ardoise-toiture-urbaine-richard-toitures-40.webp;Couverture ardoise en milieu urbain - Richard Toitures, couvreur a [VILLE];OK
41;41-maison-bourgeoise-mifran.webp;refection-toiture-maison-bourgeoise-richard-toitures-41.webp;Refection de toiture d'une maison bourgeoise - Richard Toitures, couvreur a [VILLE];OK
42;42-ferme-velux-nacelle-cherry-picker-1.webp;pose-velux-toiture-ferme-richard-toitures-42-1.webp;Pose de fenetres de toit sur une ferme - Richard Toitures, couvreur a [VILLE];OK
42;42-ferme-velux-nacelle-cherry-picker-2.webp;pose-velux-toiture-ferme-richard-toitures-42-2.webp;Pose de fenetres de toit sur une ferme - Richard Toitures, couvreur a [VILLE];OK
